"","status","family","pval","qval","genes","num_cells_expressed"
"Aff3","OK","negbinomial.size",5.81520356818268e-06,6.15796367774307e-05,"Aff3",211
"Mgarp","OK","negbinomial.size",0.000303341969820929,0.00226375675939737,"Mgarp",32
"Grhl3","OK","negbinomial.size",0.00361060356455804,0.0195269863448568,"Grhl3",19
"Pacrg","OK","negbinomial.size",6.97212424861933e-06,7.27917475360819e-05,"Pacrg",19
"Islr","OK","negbinomial.size",0.00995588466852762,0.0449565404366166,"Islr",67
"Spry1","OK","negbinomial.size",4.89962905884473e-16,1.64346068324866e-14,"Spry1",67
"Clic4","OK","negbinomial.size",3.48095545703036e-11,7.41584632163292e-10,"Clic4",224
"Hgsnat","OK","negbinomial.size",0.0049825958998426,0.0256491834648224,"Hgsnat",63
"Rsrp1","OK","negbinomial.size",0.00125995317986523,0.00790573607187076,"Rsrp1",401
"Tacc3","OK","negbinomial.size",1.92534209578536e-24,1.24525202625872e-22,"Tacc3",132
"Tap1","OK","negbinomial.size",5.14065632343972e-11,1.05937839135983e-09,"Tap1",23
"Slc9a7","OK","negbinomial.size",0.0107653150545627,0.0478914121580758,"Slc9a7",24
"Paqr7","OK","negbinomial.size",9.53273855279625e-08,1.31827739723538e-06,"Paqr7",37
"Actr1b","OK","negbinomial.size",0.00242926578110482,0.0139899086900886,"Actr1b",201
"Kdm6a","OK","negbinomial.size",0.000606021611017398,0.00419261906645717,"Kdm6a",322
"Rims2","OK","negbinomial.size",0.00385251200648401,0.0205706525934701,"Rims2",20
"Nmur2","OK","negbinomial.size",6.97873254758922e-06,7.28004755088464e-05,"Nmur2",10
"Best1","OK","negbinomial.size",1.26784114339899e-06,1.49021551729246e-05,"Best1",29
"Vnn1","OK","negbinomial.size",3.83868425235719e-09,6.44653605735405e-08,"Vnn1",117
"Fbxo27","OK","negbinomial.size",0.000558176400781655,0.00389365086651451,"Fbxo27",26
"Dtl","OK","negbinomial.size",3.88635511080461e-12,9.17878476731605e-11,"Dtl",220
"Cib2","OK","negbinomial.size",7.33775558562863e-08,1.03055426999942e-06,"Cib2",169
"Mavs","OK","negbinomial.size",0.00443336465234398,0.0232102926506278,"Mavs",120
"Atg14","OK","negbinomial.size",0.000696776965208187,0.00473222998664817,"Atg14",224
"Shank2","OK","negbinomial.size",0.0112545538386069,0.0496475806269709,"Shank2",36
"Dlgap5","OK","negbinomial.size",3.63503639579988e-14,1.03721898243955e-12,"Dlgap5",84
"Vash2","OK","negbinomial.size",0.00124751995318844,0.0078433308323094,"Vash2",107
"Wdhd1","OK","negbinomial.size",1.98016823301847e-08,2.99806503659411e-07,"Wdhd1",154
"Tob1","OK","negbinomial.size",0.00281187767984564,0.0157895820561947,"Tob1",204
"Nr0b2","OK","negbinomial.size",5.24049955393929e-07,6.53094667730063e-06,"Nr0b2",13
"Nme1","OK","negbinomial.size",2.89508434807919e-09,4.94083948551756e-08,"Nme1",362
"Lphn3","OK","negbinomial.size",3.84562588591855e-14,1.08991086906078e-12,"Lphn3",267
"Osbpl5","OK","negbinomial.size",7.96351062813295e-09,1.28434521792855e-07,"Osbpl5",73
"Rgs22","OK","negbinomial.size",6.35986502455239e-06,6.68641437142982e-05,"Rgs22",38
"Slc25a43","OK","negbinomial.size",0.00629568630639396,0.0312726253234504,"Slc25a43",10
"Gpr160","OK","negbinomial.size",6.03874355730592e-07,7.4521168047693e-06,"Gpr160",16
"Cdkn1c","OK","negbinomial.size",4.56239103666603e-17,1.67269987658232e-15,"Cdkn1c",379
"Cd81","OK","negbinomial.size",3.99513028801901e-05,0.000362232805122184,"Cd81",411
"Fam13a","OK","negbinomial.size",6.62369081674502e-23,3.79718129912674e-21,"Fam13a",63
"Ckap2","OK","negbinomial.size",1.63935216460941e-10,3.20054326626222e-09,"Ckap2",115
"Xkr8","OK","negbinomial.size",0.00679650104442606,0.0333271660856537,"Xkr8",47
"Ppp1r16b","OK","negbinomial.size",1.82764804567202e-19,8.03146242230506e-18,"Ppp1r16b",62
"Smim14","OK","negbinomial.size",2.39626151686626e-06,2.69836162952833e-05,"Smim14",275
"Ppm1k","OK","negbinomial.size",4.47831227270247e-06,4.80276142715336e-05,"Ppm1k",227
"Iars","OK","negbinomial.size",0.000996581581566065,0.00645220067079631,"Iars",237
"Cpe","OK","negbinomial.size",8.85761832980097e-22,4.63536441391908e-20,"Cpe",278
"Egr2","OK","negbinomial.size",5.08552835972769e-11,1.05318035587661e-09,"Egr2",141
"Pcdh18","OK","negbinomial.size",1.09664248442391e-13,2.95531090033212e-12,"Pcdh18",291
"H2afz","OK","negbinomial.size",8.83647097446003e-10,1.58754375968504e-08,"H2afz",405
"Ddx60","OK","negbinomial.size",1.02063241596772e-15,3.32615401296768e-14,"Ddx60",29
"Inpp4b","OK","negbinomial.size",0.000314200963586338,0.00233666177048302,"Inpp4b",11
"Igsf9","OK","negbinomial.size",0.000272089067976091,0.00206473364940702,"Igsf9",68
"Arap2","OK","negbinomial.size",0.000585059104449189,0.00405649556091983,"Arap2",47
"Ccdc138","OK","negbinomial.size",0.00244105716512232,0.0140347312190983,"Ccdc138",72
"Fam120a","OK","negbinomial.size",0.000152018328279879,0.00123375492681199,"Fam120a",361
"Dennd4c","OK","negbinomial.size",0.00176284328808522,0.0105820940263354,"Dennd4c",187
"Gcc2","OK","negbinomial.size",0.000175368533167187,0.00140161466432482,"Gcc2",331
"Ptpdc1","OK","negbinomial.size",0.00125793471196671,0.00790093256340843,"Ptpdc1",54
"Nod1","OK","negbinomial.size",0.00014877366849566,0.00121133371223455,"Nod1",28
"Smim3","OK","negbinomial.size",0.000161128467980069,0.00129933007555283,"Smim3",137
