"","Cluster","Gene_Clusters","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1109","c","c","GO:0046879","hormone secretion","24/559","365/23210",1.00200297500042e-05,0.00246348476481895,0.00198718029797951,"17202/93692/12015/93691/18125/11535/18555/23957/74998/52055/268860/16535/13447/218461/319613/12394/13615/78894/101772/214597/11539/277978/11607/26950",24
"1110","c","c","GO:0050770","regulation of axonogenesis","17/559","205/23210",1.05371928256551e-05,0.00246348476481895,0.00198718029797951,"76965/11858/17919/22352/214968/13131/20346/18846/330938/105689/13430/11816/26456/56177/13636/243743/20357",17
"1117","c","c","GO:0006029","proteoglycan metabolic process","10/559","79/23210",1.96546854594964e-05,0.00335792741581088,0.00270868620664476,"319901/240725/12156/11595/50785/64580/234356/15478/15476/54710",10
"1125","c","c","GO:0055117","regulation of cardiac muscle contraction","9/559","69/23210",4.00765396203835e-05,0.0047078251360986,0.00379758685354621,"67451/216033/14463/74166/12389/16535/20191/11931/11539",9
"1134","c","c","GO:0048103","somatic stem cell division","6/559","28/23210",4.55732734921747e-05,0.0047078251360986,0.00379758685354621,"16590/18222/13190/16842/14183/12193",6
"1139","c","c","GO:0198738","cell-cell signaling by wnt","25/559","430/23210",5.15476989691565e-05,0.00477030997543736,0.00384799051076774,"107515/26362/16600/240725/14463/67488/12156/84092/97064/16842/192199/14183/330938/22420/22417/219134/320343/14275/11816/12389/14160/20191/22414/207742/114606",25
"1143","c","c","GO:0042133","neurotransmitter metabolic process","13/559","147/23210",5.86560446429534e-05,0.00494034919862182,0.00398515336195376,"12846/11433/16600/15186/18125/13430/109731/268860/12389/69906/19733/217203/12257",13
"1144","c","c","GO:0097164","ammonium ion metabolic process","14/559","168/23210",5.92235015552964e-05,0.00494034919862182,0.00398515336195376,"14763/12846/106861/78070/15186/109731/268860/11364/74114/20773/20229/18784/11607/69215",14
"1164","c","c","GO:0001666","response to hypoxia","15/559","204/23210",0.000135153326012816,0.00811390607961222,0.00654511630488874,"11501/66214/18174/12015/12156/11438/17684/268860/12389/18806/20191/11931/108155/11539/16508",15
"1167","c","c","GO:0033240","positive regulation of cellular amine metabolic process","4/559","12/23210",0.000141273248758014,0.00811390607961222,0.00654511630488874,"14763/12846/109731/268860",4
"1169","c","c","GO:0048871","multicellular organismal homeostasis","26/559","486/23210",0.000142477414275046,0.00811390607961222,0.00654511630488874,"22095/23882/11501/17202/107515/11433/18174/26557/97064/13036/212933/104263/18783/268860/20852/54325/12389/22295/54683/67171/13615/16373/108155/56506/11539/13609",26
"1172","c","c","GO:0035690","cellular response to drug","22/559","380/23210",0.000152087765838211,0.00834041797349792,0.00672783307229719,"14763/26362/19156/238505/93692/12015/12633/22352/11438/12371/74166/13430/12672/246196/14275/20852/18104/16535/20191/234214/56506/11607",22
"1180","c","c","GO:0010035","response to inorganic substance","26/559","493/23210",0.000178514056213856,0.00890965660339267,0.00718701179600196,"80976/13070/14763/66871/26362/19156/238505/93692/18174/12633/227753/20866/69162/246196/18783/268860/20852/18104/12389/18806/20191/15370/19733/70568/17750/16691",26
"1206","c","c","GO:0046718","viral entry into host cell","7/559","54/23210",0.000300743388105123,0.0116165402605474,0.00937053082938067,"26362/68713/227753/67525/74482/217069/12389",7
"1210","c","c","GO:0051346","negative regulation of hydrolase activity","22/559","402/23210",0.00033314585830503,0.0124355790133693,0.0100312118679374,"245578/67769/16600/68348/74521/170721/12633/13012/20713/16842/18125/232345/20708/243312/211673/66793/15370/19733/69362/320415/223989/209351",22
"1229","c","c","GO:0062012","regulation of small molecule metabolic process","20/559","359/23210",0.000489064299194222,0.0155748492734705,0.0125635173646042,"12846/16590/12724/12015/12156/18125/22417/18783/11364/11816/12389/66148/19733/11307/19885/66294/71597/108155/12257/76487",20
"1237","c","c","GO:0006040","amino sugar metabolic process","6/559","43/23210",0.000543200900812092,0.0165267013795021,0.0133313328505001,"26887/71884/227620/108155/234356/26384",6
"1248","c","c","GO:0050919","negative chemotaxis","6/559","44/23210",0.000616325559795719,0.0172424821165251,0.0139087203783624,"107515/214968/20346/18846/26456/243743",6
"1264","c","c","GO:2000243","positive regulation of reproductive process","8/559","81/23210",0.000741016436714185,0.0189197703260224,0.01526171193388,"50796/22431/26423/20346/22417/17684/17701/12394",8
"1266","c","c","GO:0110110","positive regulation of animal organ morphogenesis","9/559","101/23210",0.000748974310383925,0.0189197703260224,0.01526171193388,"107515/22431/12633/12156/14183/22420/22417/22414/11607",9
"1267","c","c","GO:0002274","myeloid leukocyte activation","14/559","215/23210",0.000760159685519422,0.0189197703260224,0.01526171193388,"17988/16590/74732/27027/94176/18806/224938/19419/13615/17000/13032/66824/217203/18784",14
"1275","c","c","GO:0030509","BMP signaling pathway","12/559","168/23210",0.000797495886907156,0.0192338891890956,0.0155150972297167,"69121/240725/14463/12156/16842/18007/22057/69640/17701/12389/20191/15205",12
"1277","c","c","GO:0097352","autophagosome maturation","5/559","31/23210",0.000805381222235882,0.0192338891890956,0.0155150972297167,"67443/244962/100504663/209815/67727",5
"1288","c","c","GO:0032922","circadian regulation of gene expression","7/559","66/23210",0.00103208329621372,0.0232716446790932,0.0187721695982448,"107515/105689/23957/19885/19092/79362/108155",7
"1294","c","c","GO:0052547","regulation of peptidase activity","21/559","411/23210",0.0010835129740125,0.0237091853722341,0.019125113629964,"16600/68348/170721/69635/18174/12015/12633/227753/13012/20713/16842/12371/232345/13036/20708/12389/15370/69362/13636/66824/209351",21
"1312","c","c","GO:0007626","locomotory behavior","15/559","254/23210",0.00134961786219039,0.0270319818178357,0.021805461292427,"22095/14763/19156/11438/13131/19063/268860/11816/22295/56847/27386/12307/78286/16508/72108",15
"1322","c","c","GO:0032102","negative regulation of response to external stimulus","18/559","336/23210",0.00142677698415932,0.0274361184572973,0.0221314598044124,"243958/11433/12575/214968/20346/21946/18846/18007/22417/268860/11816/26456/66824/66294/269473/18784/11539/20357",18
"1334","c","c","GO:0071496","cellular response to external stimulus","16/559","285/23210",0.001600673085738,0.0292600405220091,0.0236027341730654,"74137/12846/26362/12575/18125/29810/67443/22417/100504663/14275/12389/66148/19106/22414/66809/56506",16
"1342","c","c","GO:1902307","positive regulation of sodium ion transmembrane transport","4/559","22/23210",0.00172431259138082,0.0302067288579122,0.0243663842821709,"93692/18125/13430/11931",4
"1343","c","c","GO:0043627","response to estrogen","7/559","72/23210",0.00172535480603635,0.0302067288579122,0.0243663842821709,"14463/18125/17684/217069/12389/11607/56222",7
"1405","c","c","GO:1905332","positive regulation of morphogenesis of an epithelium","5/559","40/23210",0.0026112283437866,0.0369397334493633,0.0297975906210177,"107515/18222/22417/22414/11607",5
"1410","c","c","GO:0010656","negative regulation of muscle cell apoptotic process","6/559","58/23210",0.00266216455354918,0.0369541717089546,0.0298092373035573,"14463/12633/29810/12389/243912/11607",6
"1416","c","c","GO:0033555","multicellular organismal response to stress","8/559","99/23210",0.00270988263910632,0.0370378421012624,0.0298767303757665,"216749/12846/72194/18125/11816/218461/12394/12257",8
"1452","c","c","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","12/559","202/23210",0.00375701046840973,0.0460350313936687,0.0371343507817835,"219257/76965/16600/12156/13131/19268/73173/244682/215654/22295/50791/16858",12
"1472","c","c","GO:1903034","regulation of response to wounding","11/559","179/23210",0.00420426967475534,0.0490167083865176,0.0395395330097173,"243958/16600/12575/18007/19268/22417/268860/211673/11816/12389/269473",11
