"","Cluster","cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"705","C2","C2","GO:0061448","connective tissue development","58/1012","282/23174",2.5132715678168e-23,4.40408954400431e-20,3.07060056110109e-20,"239337/108153/72345/11749/108012/14705/269941/12814/12816/12818/12842/12831/12833/12834/12835/13038/67800/192119/13653/20378/14633/14634/14683/15530/16000/16416/16905/16948/16998/17132/17181/17260/17313/18028/23967/107587/18596/18706/18933/218772/26564/56788/68427/17129/20613/20583/20678/20855/72043/21808/21813/21827/21833/83925/22418/22433/235320/21417",58
"706","C2","C2","GO:0031589","cell-substrate adhesion","58/1012","337/23174",2.33311478168596e-19,3.06629610183077e-16,2.13786991311329e-16,"109711/11482/239337/11606/11600/69538/11856/109880/12361/67896/12512/12842/140709/12825/235431/18214/50768/330662/407800/13607/268780/100952/13731/13837/14114/192176/14268/329872/14369/14758/15530/16202/109700/319480/16401/241226/16412/16416/16777/23928/16852/16971/17387/50918/68169/18073/18074/18186/18552/18792/50706/19211/19242/19272/20377/208777/94214/22329",58
"714","C2","C2","GO:0051271","negative regulation of cellular component movement","47/1012","315/23174",1.61094239826009e-13,7.05727015637773e-11,4.92043985152774e-11,"109711/11482/109880/12512/12527/12798/12825/20315/114886/13078/13179/50768/13479/22240/100952/13805/14114/56484/16011/77125/16202/16971/17260/214384/11819/211323/18186/19211/19242/19272/53614/20187/320271/108151/20356/20317/20377/20563/259302/20848/20855/24071/21814/56363/50875/22003/22418",47
"716","C2","C2","GO:0009611","response to wounding","61/1012","495/23174",2.72342854521358e-13,1.0226474187277e-10,7.13005879280729e-11,"11475/11482/11749/231532/14595/109880/56745/12361/12490/12520/12527/12798/12842/12825/12831/13361/192119/22240/13649/13805/14114/192176/14268/14369/14632/14683/16000/242050/16416/16948/16971/17181/17390/107589/68169/18053/18129/27528/18213/18595/73182/18792/19128/19211/19221/19242/19280/12258/20512/20583/72043/21788/21808/21824/56363/22003/27973/22418/22433/22695/12192",61
"721","C2","C2","GO:0071560","cellular response to transforming growth factor beta stimulus","36/1012","204/23174",7.49924996532918e-13,2.07492405619661e-10,1.44666971630339e-10,"11477/11482/77794/66695/12562/12843/12825/12827/12912/100952/13805/14118/14281/14360/78558/241226/16948/434215/16998/108075/17260/214384/14815/27528/65112/19272/17129/102141/20678/21808/21809/21813/21814/22433/21417/12192",36
"733","C2","C2","GO:0009812","flavonoid metabolic process","9/1012","11/23174",2.83558292828214e-11,4.80859982386426e-09,3.35263149618962e-09,"394436/394430/22236/394433/94284/394435/394432/613123/394434",9
"736","C2","C2","GO:0003013","circulatory system process","56/1012","489/23174",4.87972567871417e-11,7.54491702735306e-09,5.26043492671292e-09,"11421/70008/11475/11482/11549/11606/11609/83397/75547/11600/11835/98660/381290/12291/12296/12490/12843/235431/58861/13617/13618/13649/13731/13805/13809/192176/14360/14683/77446/15559/109700/16523/17390/17540/52589/18160/18162/11819/14815/54611/242202/18627/50706/19245/24052/20563/17129/29856/20787/20855/21808/21814/21833/74166/74868/22003",56
"750","C2","C2","GO:0052695","cellular glucuronidation","9/1012","13/23174",3.40481844889128e-10,3.7289855387128e-08,2.59990742084198e-08,"394436/394430/22236/394433/94284/394435/394432/613123/394434",9
"767","C2","C2","GO:0032963","collagen metabolic process","21/1012","109/23174",8.9050351016991e-09,7.20211838917418e-07,5.02143031969494e-07,"216725/12842/12843/12831/26427/13038/114886/100952/13805/16412/76293/17385/17387/17389/17390/17534/18596/26432/52377/21809/21814",21
"805","C2","C2","GO:0032102","negative regulation of response to external stimulus","37/1012","336/23174",2.55928503363149e-07,1.3062292642525e-05,9.10723606244745e-06,"11513/23821/56745/81799/12297/54598/12361/102657/12490/12527/12562/12386/23871/16000/16859/18186/18189/53322/18595/18792/19128/19211/19223/19280/20187/74136/108151/20356/20317/12258/20563/20583/21788/21824/56496/22418/22695",37
"829","C2","C2","GO:1904951","positive regulation of establishment of protein localization","44/1012","452/23174",6.47472342840892e-07,2.68012764276738e-05,1.86862718422875e-05,"11352/11606/11609/383619/83397/11735/81799/12297/54725/12361/102657/12490/12520/235431/230073/192193/13649/192176/14360/14634/15275/15559/16000/16180/77125/16847/16859/16971/18640/50706/19056/19122/19245/19376/19662/89867/20742/207227/21808/21809/54445/215280/22418/22433",44
"835","C2","C2","GO:1903532","positive regulation of secretion by cell","45/1012","472/23174",8.61152282481106e-07,3.38315139836318e-05,2.35878641392441e-05,"11352/11606/11609/383619/83397/56745/81799/12291/54725/12361/102657/12490/12912/20315/230073/13649/111173/15275/15559/16000/16180/77125/16367/16847/16859/16971/14299/54003/192167/14815/53322/18640/50706/19056/19376/19662/20698/20742/207227/20979/21808/21809/54445/22418/22433",45
"838","C2","C2","GO:0010863","positive regulation of phospholipase C activity","9/1012","26/23174",8.89293054843039e-07,3.41241867832836e-05,2.37919202225391e-05,"11352/11549/11606/11856/50768/15559/14745/18595/18596",9
"860","C2","C2","GO:0009100","glycoprotein metabolic process","35/1012","337/23174",2.0943724259574e-06,6.93219141212856e-05,4.83323298199527e-05,"239337/207958/320438/97884/53625/14595/12111/53374/269941/12814/13179/244745/192193/268780/58193/73068/108760/14594/93683/14733/50786/16000/64294/68169/69352/59007/140484/94214/20447/20450/72043/52463/21982/387314/66435",35
"867","C2","C2","GO:0099643","signal release from synapse","24/1012","187/23174",2.29417639971228e-06,7.30938505047724e-05,5.09621832459213e-05,"11549/23821/109880/12298/12361/111173/238988/26431/108030/244049/17260/14299/192167/18189/18191/18212/67847/20698/207227/71709/27204/20979/208898/22433",24
