"","Cluster","cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"51","C1","C1","GO:0050808","synapse organization","62/1236","447/23174",5.13066211556734e-12,5.40228540403855e-10,3.90015037598235e-10,"11603/11838/239027/12323/53872/12404/107995/12558/12564/107932/12387/18163/20430/56320/72162/13640/13642/112405/13838/13841/13845/104156/14062/223254/70598/399558/71436/14432/14712/234267/15387/93842/16400/545156/259277/110648/16975/77579/17918/18039/18430/18479/219228/18530/56376/55983/235611/242662/237979/235072/20474/245450/20616/20618/231637/81907/64930/22142/22154/22346/22631/241514",62
"52","C1","C1","GO:0006913","nucleocytoplasmic transport","47/1236","287/23174",6.13642923618194e-12,6.1948138814092e-10,4.47231197201413e-10,"223921/24015/12159/12317/432508/110750/68278/53817/66233/217378/13605/276770/71999/14180/74412/53379/76582/230673/70572/226432/16480/16211/240354/230082/18148/103468/59015/18141/18226/71805/68051/56698/18767/107939/19250/19384/19387/109095/20963/230908/107829/21849/64930/103573/72322/74204/22627",47
"53","C1","C1","GO:0051169","nuclear transport","47/1236","287/23174",6.13642923618194e-12,6.1948138814092e-10,4.47231197201413e-10,"223921/24015/12159/12317/432508/110750/68278/53817/66233/217378/13605/276770/71999/14180/74412/53379/76582/230673/70572/226432/16480/16211/240354/230082/18148/103468/59015/18141/18226/71805/68051/56698/18767/107939/19250/19384/19387/109095/20963/230908/107829/21849/64930/103573/72322/74204/22627",47
"54","C1","C1","GO:0045786","negative regulation of cell cycle","62/1236","449/23174",6.22942178018803e-12,6.1948138814092e-10,4.47231197201413e-10,"11636/11789/20877/11799/12159/12189/56710/12235/12237/12317/12367/268697/12443/12449/71702/23834/12567/229841/12649/269582/52468/12387/233805/53817/76843/52679/108961/268465/14056/67141/14165/14184/17300/14235/209334/57441/15516/15902/244329/105837/18432/67052/18148/28114/57913/270906/30939/72440/67874/235072/26941/24061/13006/70385/107829/77011/21973/21974/235559/27223/74335/22642",62
"55","C1","C1","GO:0003002","regionalization","55/1236","372/23174",6.67126487861252e-12,6.51358043602713e-10,4.70244374123061e-10,"11481/19378/216285/11789/11838/20878/12159/12166/53883/12808/241324/12387/13614/13626/14164/14165/14182/17300/15229/14464/14734/15213/15258/21410/15395/15399/15400/15402/15404/15405/15417/209448/15424/15426/15430/81896/106633/16392/30841/16869/14725/17285/17427/13865/18510/18530/18741/224143/19876/268902/20319/24063/72475/76365/93840",55
"56","C1","C1","GO:0060560","developmental growth involved in morphogenesis","45/1236","268/23174",7.18695633717683e-12,6.89177777332849e-10,4.97548123868839e-10,"20878/12159/12561/12808/12904/12977/12387/20430/56320/70433/13640/13690/13841/14164/14165/71436/14260/21410/15387/15519/15516/75605/269152/16869/18479/98711/116837/217340/19876/58198/20347/20358/235072/20319/20474/20682/229285/24063/20983/81907/21849/360213/93840/225348/243905",45
"57","C1","C1","GO:0051236","establishment of RNA localization","32/1236","148/23174",8.89360004865963e-12,8.37870741426355e-10,6.04896195368669e-10,"223921/24015/11838/432508/68278/53817/276770/23881/74412/15382/53379/140486/319765/140488/68092/72787/230082/18148/103468/59015/18226/71805/56698/107939/19384/109095/110379/225027/107829/64930/103573/72322",32
"58","C1","C1","GO:0071824","protein-DNA complex subunit organization","39/1236","214/23174",1.38939236339906e-11,1.28638568818155e-09,9.28699106061479e-10,"66471/93760/14312/71902/12544/12615/12617/229841/26886/27221/110749/15201/320332/21410/17216/17215/17217/17218/17219/17220/69792/53605/50927/18148/70645/59001/19182/19184/19231/19361/19646/19822/56086/20586/57376/20667/20682/114741/237336",39
"59","C1","C1","GO:0048562","embryonic organ morphogenesis","49/1236","316/23174",1.6741074682997e-11,1.52372154318125e-09,1.10004242743047e-09,"19378/216285/93760/12159/277939/207607/320790/12824/241324/68588/12387/13614/192170/13836/14048/14165/14180/14182/57265/14461/15111/15258/21410/15399/15400/15402/15404/15430/15902/106633/30841/16869/15531/18510/18741/19353/98711/12393/58198/212712/20474/26941/20586/20666/20682/20460/20897/76365/93840",49
"60","C1","C1","GO:0044786","cell cycle DNA replication","18/1236","48/23174",1.71475889049239e-11,1.53470920699069e-09,1.10797491117254e-09,"12544/27214/52679/108961/67141/14182/69270/67444/16881/17216/17215/17217/17218/17219/17220/19361/24061/13006",18
"61","C1","C1","GO:0033045","regulation of sister chromatid segregation","23/1236","81/23174",2.09316905531009e-11,1.84267505360905e-09,1.3303091683705e-09,"11789/20877/56208/11799/12235/12237/268697/52563/23834/67849/229841/12704/12387/67141/14156/209334/67052/59126/68501/30939/70385/21335/74335",23
"62","C1","C1","GO:0030900","forebrain development","55/1236","383/23174",2.12839256552659e-11,1.84346259304481e-09,1.33087772815525e-09,"19378/11783/11803/93760/12159/12166/12558/320790/12387/70433/71877/13845/14165/14182/14184/14461/15364/15387/15902/140486/16392/16485/30841/381293/16869/110648/14725/16975/244329/17242/14013/77579/17967/15531/13865/18479/18536/18741/18992/19091/19353/19823/19876/268902/58198/212712/20586/20460/21335/81907/21974/64930/209012/22627/67263",55
