	Top	p.value	FDR	logFC.2	logFC.3	logFC.4	logFC.5
ENSMUSG00000053830	7912	0.457646313783103	0.764179055023768	0.115140370081995	-0.522964150135556	-0.0287242523735501	0.198148206858318
Dpp9	7913	0.456402550525028	0.763173863399898	-0.37079028619444	-0.924789052110116	0.198960782474058	-0.56005171248273
ENSMUSG00000103285	7914	0.244630885672986	0.493306457008702	-0.556360740632341	0.0673397770526985	0.0868796425695066	-0.368931374042866
ENSMUSG00000107230	7915	0.663305290609158	0.887606140759357	-0.154128943780767	0.048865597159937	0.0755175886323283	-0.277576318947804
ENSMUSG00000084216	7916	0.228291141277128	0.46789453748655	-0.223153783804457	-0.261088609424715	-0.166466166215274	0.065460272736788
Zfp790	7917	0.456617602025353	0.76329496917441	-0.081241626608783	0.391885602117681	-0.038429631588422	0.216747059513133
Phospho2	7918	0.208875283785788	0.442003814776883	-1.022690941619	-0.405327014230394	-0.0394334686964174	0.0296045168350103
ENSMUSG00000082844	7919	0.208974995082218	0.442175472245586	-0.150856346896132	0.00267344503348854	-0.0871374131749891	-0.117901599285668
Arnt	7919	0.456635446386642	0.76329496917441	0.161844230290454	0.794589033183461	0.533878164590049	-0.058627686842108
ENSMUSG00000103733	7920	0.262376703038719	0.519489271426061	0.281349953385393	0.301207440519081	0.284495644126672	0.257376797451763
Slc9a1	7921	0.209218418005821	0.442533051888334	-0.994214885275845	-0.738040961085858	-0.587714450436846	-0.505728050078452
ENSMUSG00000083283	7921	0.346581465403291	0.634985516654069	-0.0595417486026789	-0.276402258442371	-0.222649967418354	-0.198961534384607
Lrp1	7921	0.334091074705637	0.621923898597295	0.0265699467019493	0.0750748109476011	0.0682853233683205	-0.222241149379508
ENSMUSG00000085201	7921	0.917697270780138	1	0.0559650640906139	-0.0337637746077251	-0.409615037739946	0.146102163968475
Atp8a2	7922	0.386929845099352	0.68598853998841	0.117085199759155	0.09911867085155	0.130350561316788	0.138853893048599
ENSMUSG00000085451	7923	0.209479228085046	0.442942348240611	0.309748936636234	0.0923964000469802	-0.167234154330177	0.123067471465203
Ccrl2	7925	0.209629586329008	0.443205658428554	-0.701442172292382	-0.298756785472316	-0.495255535041717	-0.260946551817245
Lrrc20	7925	0.457772424933535	0.764282315352353	-0.369400203936166	-0.93739054048473	0.143085658704257	-1.225145950399
Nfat5	7927	0.210038710465754	0.443873347343792	-0.824567032585831	0.0323115918107482	-0.194136856140797	-0.71628201372244
Zfyve27	7927	0.459399502984283	0.766460777234317	-0.66557508886412	-0.247142163354712	-0.3834265458165	-1.10782644786155
